\lambda [nm]	
406.1199951	0.980990372
406.2999878	0.983083878
406.4799805	0.984031067
406.6600037	0.986255264
406.8399963	0.987074051
407.019989	0.989141922
407.1999817	0.990016556
407.3800049	0.990744629
407.5599976	0.992137451
407.7399902	0.99426384
407.9199829	0.994306412
408.1000061	0.995121841
408.2799988	0.995407181
408.4599915	0.995775757
408.6399841	0.994241715
408.8200073	0.993581467
409	0.993088379
409.1799927	0.99124939
409.3599854	0.989790039
409.5400085	0.988488846
409.7200012	0.986638031
409.8999939	0.984425354
410.0799866	0.982624664
410.2599792	0.980820618
410.4400024	0.979257965
410.6199951	0.978959045
410.7999878	0.977523651
410.9799805	0.977215271
411.1600037	0.978132706
411.3399963	0.978233185
411.519989	0.979257736
411.6999817	0.980373154
411.8800049	0.981073151
412.0599976	0.982237549
412.2399902	0.984056549
412.4199829	0.985600739
412.6000061	0.985372162
412.7799988	0.987098007
412.9599915	0.987340775
413.1399841	0.987029877
413.3200073	0.986567383
413.5	0.985720444
413.6799927	0.98397995
413.8599854	0.982908096
414.0400085	0.981499176
414.2200012	0.98019249
414.3999939	0.978149262
414.5799866	0.976705933
414.7599792	0.97505188
414.9400024	0.973760376
415.1199951	0.972674942
415.2999878	0.972954483
415.4799805	0.972547302
415.6600037	0.973156891
415.8399963	0.973648529
416.019989	0.974544907
416.1999817	0.975985031
416.3800049	0.977583237
416.5599976	0.97877945
416.7399902	0.980957794
416.9199829	0.982796631
417.1000061	0.98485527
417.2799988	0.98654953
417.4599915	0.987678909
417.6399841	0.989749985
417.8200073	0.990831833
418	0.991356583
418.1799927	0.992145691
418.3599854	0.992161789
418.5400085	0.99212822
418.7200012	0.991561813
418.8999939	0.992051086
419.0799866	0.99127594
419.2599792	0.990489273
419.4400024	0.98970108
419.6199951	0.989432144
419.7999878	0.988184128
419.9799805	0.987950897
420.1600037	0.987201309
420.3399963	0.986440201
420.519989	0.986670685
420.6999817	0.986731567
420.8800049	0.986354141
421.0599976	0.986255264
421.2399902	0.986581497
421.4199829	0.986585007
421.6000061	0.987566452
421.7799988	0.988033829
421.9599915	0.988228912
422.1399841	0.9884375
422.3200073	0.988327942
422.5	0.988246765
422.6799927	0.988237686
422.8599854	0.988161316
423.0400085	0.987786865
423.2200012	0.987400589
423.3999939	0.987108231
423.5799866	0.985760651
423.7599792	0.985421829
423.9400024	0.984906006
424.1199951	0.984038925
424.2999878	0.982963791
424.4799805	0.982488785
424.6600037	0.981716309
424.8399963	0.981362152
425.019989	0.981138153
425.1999817	0.980744019
425.3800049	0.980764084
425.5599976	0.980215607
425.7399902	0.980295792
425.9199829	0.980775452
426.1000061	0.981148682
426.2799988	0.98188385
426.4599915	0.982434769
426.6399841	0.983026962
426.8200073	0.983321838
427	0.983873901
427.1799927	0.984396439
427.3599854	0.984895096
427.5400085	0.984632874
427.7200012	0.985033875
427.8999939	0.985054092
428.0799866	0.984650497
428.2599792	0.984470825
428.4400024	0.98422348
428.6199951	0.983629456
428.7999878	0.982675018
428.9799805	0.981426392
429.1600037	0.980890884
429.3399963	0.979558868
429.519989	0.978506775
429.6999817	0.977460327
429.8800049	0.976544647
430.0599976	0.975922546
430.2399902	0.975394287
430.4199829	0.974194489
430.6000061	0.973882446
430.7799988	0.974380188
